[Order:0] 스몰유닛 조합 + 토목 + 조경 (Finish: ||금속, 노출콘크리트||) (ID: 194b4dfa-8e40-4efd-879c-dcdd81654d16)
[Order:1] 스몰유닛 조합 + 토목 + 조경 (Finish: ||금속,목재,스타코||) (ID: 867b7782-7474-49dd-98ac-106bf87ced37)
[Order:2] 스몰유닛 조합 + 토목 + 조경 (Finish: ||갈바륨 골강판||) (ID: 978cb394-687d-4f8c-9a85-6e36f1595fc2)
[Order:3] 3X9 집 (Finish: ||갈바륨 골강판||) (ID: d97096cf-fb4c-4b92-9a1f-454fcad00f5a)
[Order:4] 3X6 유닛 + 3X6 유닛 + 3X3 유닛 (Finish: ||스타코||) (ID: 606e00a2-1fa4-4fb7-bdc7-506a05504fdc)
[Order:5] 3X6 유닛 + 3X6 유닛 +  3X6 유닛 + 3X6 유닛 + 커다란 지붕 (Finish: ||스타코||) (ID: 46672b39-966c-41f8-bd2d-9ef3ff8e5ae7)
[Order:6] 3X6 유닛 + 3X6 유닛 + 3X9 유닛 (Finish: ||갈바륨 골강판||) (ID: 96617238-a31f-4b1e-9bb0-d081e792632c)
[Order:7] 3X6 집 (적삼목) (Finish: ||적삼목, 징크||) (ID: 8537ea88-c9c5-4fa4-86a3-74fdee5c787a)
[Order:8] 3X6 집 (스타코) (Finish: ||스타코||) (ID: 9720112a-6bc4-46ec-8dfe-55b4ab5f18b0)
[Order:9] 3X6 집(골강판) (Finish: ||갈바륨 골강판||) (ID: 1ae98914-4ba0-4f78-bd7a-0e044355be98)
[Order:10] 3X6 맨스케이브 (Finish: ||징크||) (ID: 9a682f35-e916-48d4-8660-6d83c348ab81)
[Order:11] 3X6 CAMPER (Finish: ||적삼목||) (ID: 61a84abc-d0e8-415e-8545-f8ea7499f89b)
[Order:12] 3X3 SAUNA (Finish: ||적삼목||) (ID: 10a04f47-1438-4b8c-b1f1-63c8706a1902)
[Order:13] 3X3 내서재 (Finish: ||합성데크||) (ID: ff2e42c4-a2ba-4358-a124-c029107dd707)
[Order:14] 3X6 피터팬의 모험 (Finish: ||적삼목, 징크||) (ID: 7f0a4d8f-f91c-4039-89c1-e4fac0f69492)
[Order:15] 3X3 리트릿 (Finish: ||적삼목||) (ID: 5f4f1839-c154-4b6c-9a90-9393834d22a8)
[Order:16] 3X9 파고라 (Finish: ||금속,합성목재||) (ID: 55f6f984-1f6d-41cd-9518-391cfff9f2e9)
[Order:17] 4X8 공중화장실 (Finish: ||스테인레스||) (ID: dd9fc287-2f97-41a9-89b7-9fb80ffb3361)
[Order:18] 3X6 버스정류장 (Finish: ||스테인레스||) (ID: 45758936-0ed9-430f-9d63-eba8710d6154)
[Order:19] 3X9 집 + 3X3 내서재 (Finish: ||갈바륨 골강판||) (ID: medium-combo)
[Order:20] 3X6 집 + 3X6 집 (Finish: ||적삼목, 징크||) (ID: 33d3d8b3-7c27-4851-9f36-c0391f4cd8ff)
[Order:21] 3X6 집 + 3X6 집 (Finish: ||적삼목, 징크||) (ID: f8ffa3a2-6333-45ec-973f-edbe7d17df45)
